title,collected_date,published_date,tags,image_urls,urls,article_url
Migração e tráfico de pessoas na fronteira norte,2026-05-20 07:31:09,Publicado em: 25/04/2024 às 18:44,"


                                            Amazônia                                        



                                            assistencia                                        



                                            BNC                                        



                                            bnc amazonas                                        



                                            capacitação                                        



                                            evento                                        



                                            migração                                        



                                            pessoas                                        



                                            tráfico                                        



                                            UEA                                        



                                            vitimas                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201024%20683'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-19-at-13.43.12.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201920%20780'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/amazonia-crimes-faccao.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201080%20720'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2025/11/zfmm.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%20900'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2024/04/PHOTO-2024-04-25-18-11-30-e1714084128866.jpg']","['https://bncamazonas.com.br/municipios/amazonas-chega-a-27a-marcha-a-brasilia-com-38-dos-62-prefeitos/', 'https://bncamazonas.com.br/municipios/amazonas-chega-a-27a-marcha-a-brasilia-com-38-dos-62-prefeitos/', 'https://bncamazonas.com.br/municipios/amazonia-governo-lula-lanca-plano-para-conter-avanco-das-faccoes/', 'https://bncamazonas.com.br/municipios/amazonia-governo-lula-lanca-plano-para-conter-avanco-das-faccoes/', 'https://bncamazonas.com.br/municipios/manaus-planeja-expansao-industrial-para-chegada-de-novas-fabricas-a-zfm/', 'https://bncamazonas.com.br/municipios/manaus-planeja-expansao-industrial-para-chegada-de-novas-fabricas-a-zfm/', 'https://bncamazonas.com.br/ta_na_midia/pf-investiga-trafico-humano-do-amazonas-para-a-turquia/']",https://bncamazonas.com.br/migracao-e-trafico-de-pessoas-na-fronteira-norte/
Comitiva do PL se encontra com acusados de tráfico no Amazonas,2026-05-20 07:31:14,Publicado em: 19/04/2026 às 22:06,"


                                            amazonas                                        



                                            bastidores                                        



                                            eleições                                        



                                            Itamarati                                        



                                            Maria Seffair                                        



                                            PL                                        



                                            Política                                        



                                            tráfico                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20847%20564'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20990%20557'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/55206864067-d9a52df3ca-o-990x557.jpg.webp', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20960%20540'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro-agencia-senado-crop-20190518195156-960x540-1-1.webp']","['https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/maria-do-carmo-3/']",https://bncamazonas.com.br/poder/comitiva-do-pl-se-encontra-com-acusados-de-trafico-no-amazonas/
EUA anunciam prontidão para ofensiva militar contra tráfico na América Latina,2026-05-20 07:31:16,Publicado em: 06/03/2026 às 09:18,"


                                            América Latina                                        



                                            estados unidos                                        



                                            narcoterrorismo                                        



                                            Pete Hegseth                                        



                                            Secretário de Defesa                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%20675'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2025/09/vereador-sargento-salazar_foto-eder-franca-dicom.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201535%201024'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/Made-In-Amazon2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201000%20616'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/Frias.jpg']","['https://bncamazonas.com.br/poder/salazar-perde-mais-uma-para-david-almeida-na-justica-eleitoral/', 'https://bncamazonas.com.br/poder/salazar-perde-mais-uma-para-david-almeida-na-justica-eleitoral/', 'https://bncamazonas.com.br/municipios/made-in-amazon-2/', 'https://bncamazonas.com.br/municipios/made-in-amazon-2/', 'https://bncamazonas.com.br/rapidinhas/deputado-4/', 'https://bncamazonas.com.br/rapidinhas/deputado-4/', 'https://www.gazetadopovo.com.br/mundo/eua-avisam-que-podem-lancar-ofensiva-contra-grupos-criminosos-na-america-latina/', 'https://bncamazonas.com.br/municipios/amazonia-pode-virar-rota-de-carteis-mexicanos-por-causa-de-trump/', 'https://bncamazonas.com.br/municipios/avanco-das-faccoes-criminosas-na-amazonia-vai-muito-alem-do-narcotrafico/']",https://bncamazonas.com.br/municipios/eua-anunciam-prontidao-para-ofensiva-militar-contra-trafico-na-america-latina/
David Almeida tentou soltar acusada de envolvimento com tráfico que cuidava de sua agenda,2026-05-20 07:31:18,Publicado em: 22/02/2026 às 10:36,"


                                            ALE-AM                                        



                                            Anabela Cardoso Freitas                                        



                                            david almeida                                        



                                            facção criminosa                                        



                                            governador interino                                        



                                            prefeitura de Manaus                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20847%20564'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20990%20557'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/55206864067-d9a52df3ca-o-990x557.jpg.webp', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20960%20540'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro-agencia-senado-crop-20190518195156-960x540-1-1.webp']","['https://bncamazonas.com.br/poder/assessora-de-david-almeida-transferiu-r-15-milhao-para-o-cv/', 'https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/operacao-contra-crime-organizado-chega-ao-gabinete-do-prefeito-de-manaus/', 'https://bncamazonas.com.br/poder/assessora-de-david-almeida-transferiu-r-15-milhao-para-o-cv/', 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/02/Primeiro-ato-de-presidente-da-ALE-AM-Edicao-n%C2%B0-882.pdf', 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/02/Ex-assessora-de-ex-governador-diario_am_2023-10-20_completo.pdf']",https://bncamazonas.com.br/poder/david-almeida-tentou-soltar-acusada-trafico-que-cuidava-de-sua-agenda/
"Tráfico de drogas, lavagem de dinheiro e corrupção na mira da operação no Amazonas",2026-05-20 07:31:20,Publicado em: 20/02/2026 às 08:25,"


                                            amazonas                                        



                                            Amazônia                                        



                                            BNC                                        



                                            bnc amazonas                                        



                                            crime organizado                                        



                                            Manaus                                        



                                            operação                                        



                                            organização criminosa                                        



                                            POLÍCIA                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%20800'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-e-vorcaro.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201280%20960'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/Suframa3.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201000%20750'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/ADAF2-Brucelos-e-doenca-que-pode-ser-transmitida-de-animais-para-humanos.jpeg']","['https://bncamazonas.com.br/poder/maioria-liga-flavio-bolsonaro-ao-caso-master/', 'https://bncamazonas.com.br/poder/maioria-liga-flavio-bolsonaro-ao-caso-master/', 'https://bncamazonas.com.br/poder/suframa-7/', 'https://bncamazonas.com.br/poder/suframa-7/', 'https://bncamazonas.com.br/rapidinhas/caso-de-brucelose-em-nhamunda-preocupa-e-adaf-alerta-para-vacinacao/', 'https://bncamazonas.com.br/rapidinhas/caso-de-brucelose-em-nhamunda-preocupa-e-adaf-alerta-para-vacinacao/', 'https://bncamazonas.com.br/municipios/comandante-afasta-policiais-militares-que-mataram-cachorros-em-manaus/', 'https://bncamazonas.com.br/poder/operacao-contra-crime-organizado-chega-ao-gabinete-do-prefeito-de-manaus/']",https://bncamazonas.com.br/poder/trafico-de-drogas-lavagem-de-dinheiro-e-corrupcao-na-mira-da-operacao-no-amazonas/
Operação em Manaus prende policiais envolvidos com tráfico,2026-05-20 07:31:22,Publicado em: 20/02/2026 às 06:47,"


                                            amazonas                                        



                                            Manaus                                        



                                            operação                                        



                                            polícia civil                                        



                                            tráfico de drogas                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%20800'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/03/HIstoria-do-Charango-no-toadas.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201280%20680'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-19-at-20.26.39-2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201342%20784'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/PL_Alberto-Neto_bolsonarista.jpeg']","['https://bncamazonas.com.br/bnc_play/em-noite-de-charangos-toadas-conta-historia-do-instrumento-no-boi-bumba/', 'https://bncamazonas.com.br/bnc_play/em-noite-de-charangos-toadas-conta-historia-do-instrumento-no-boi-bumba/', 'https://bncamazonas.com.br/poder/prefeitos-do-amazonas-apresentam-demandas-urgentes-a-bancada-federal/', 'https://bncamazonas.com.br/poder/prefeitos-do-amazonas-apresentam-demandas-urgentes-a-bancada-federal/', 'https://bncamazonas.com.br/poder/alberto-neto-6/', 'https://bncamazonas.com.br/poder/alberto-neto-6/', 'https://bncamazonas.com.br/municipios/operacao-mira-nucleo-politico-ligado-ao-comando-vermelho-no-amazonas/']",https://bncamazonas.com.br/rapidinhas/operacao-em-manaus-prende-policiais-envolvidos-com-trafico/
Amazonas: tráfico humano e trabalho escravo têm alta recorde de 310%,2026-05-20 07:31:24,Publicado em: 28/01/2026 às 20:09,"


                                            28 de janeiro                                        



                                            amazonas                                        



                                            cnj                                        



                                            direitos humanos                                        



                                            exploração                                        



                                            fiscalização                                        



                                            justiça                                        



                                            recorde                                        



                                            trabalho escravo                                        



                                            tráfico humano                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201024%20683'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-19-at-13.43.12.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201920%20780'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/amazonia-crimes-faccao.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201080%20720'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2025/11/zfmm.jpg']","['https://bncamazonas.com.br/municipios/amazonas-chega-a-27a-marcha-a-brasilia-com-38-dos-62-prefeitos/', 'https://bncamazonas.com.br/municipios/amazonas-chega-a-27a-marcha-a-brasilia-com-38-dos-62-prefeitos/', 'https://bncamazonas.com.br/municipios/amazonia-governo-lula-lanca-plano-para-conter-avanco-das-faccoes/', 'https://bncamazonas.com.br/municipios/amazonia-governo-lula-lanca-plano-para-conter-avanco-das-faccoes/', 'https://bncamazonas.com.br/municipios/manaus-planeja-expansao-industrial-para-chegada-de-novas-fabricas-a-zfm/', 'https://bncamazonas.com.br/municipios/manaus-planeja-expansao-industrial-para-chegada-de-novas-fabricas-a-zfm/']",https://bncamazonas.com.br/municipios/amazonas-40/
Editorial BNC | A hipocrisia social é o mel do tráfico e o triunfo dos justiceiros,2026-05-20 07:31:26,Publicado em: 12/09/2025 às 14:48,"


                                            cocaína                                        



                                            droga                                        



                                            gustavo petro                                        



                                            legalização                                        



                                            presidente da colômbia                                        



                                            tráfico                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20847%20564'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20990%20557'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/55206864067-d9a52df3ca-o-990x557.jpg.webp', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20960%20540'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro-agencia-senado-crop-20190518195156-960x540-1-1.webp']","['https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/']",https://bncamazonas.com.br/poder/editorial-bnc-a-hipocrisia-social-e-o-mel-do-trafico-e-o-triunfo-dos-justiceiros/
"No AM, FICCO prende duas pessoas com 52 kg de skunk",2026-05-20 07:31:28,Publicado em: 27/07/2025 às 09:15,"


                                            amazonas                                        



                                            FICCO-AM                                        



                                            maconha                                        



                                            Manaus                                        



                                            polícia federal                                        



                                            skunk                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%20675'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2025/09/vereador-sargento-salazar_foto-eder-franca-dicom.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201535%201024'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/Made-In-Amazon2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201000%20616'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/Frias.jpg']","['https://bncamazonas.com.br/poder/salazar-perde-mais-uma-para-david-almeida-na-justica-eleitoral/', 'https://bncamazonas.com.br/poder/salazar-perde-mais-uma-para-david-almeida-na-justica-eleitoral/', 'https://bncamazonas.com.br/municipios/made-in-amazon-2/', 'https://bncamazonas.com.br/municipios/made-in-amazon-2/', 'https://bncamazonas.com.br/rapidinhas/deputado-4/', 'https://bncamazonas.com.br/rapidinhas/deputado-4/', 'https://bncamazonas.com.br/municipios/pf-destroi-aeronaves-e-pistas-de-pouso-de-traficantes-de-drogas-no-amazonas/']",https://bncamazonas.com.br/municipios/no-am-ficco-prende-duas-pessoas-com-52-kg-de-skunk/
PF desarticula organização criminosa de tráfico de drogas e lavagem de dinheiro,2026-05-20 07:31:29,Publicado em: 29/05/2025 às 07:59,"


                                            LAVAGEM DE DINHEIRO                                        



                                            oepração linhagem                                        



                                            organização criminosa                                        



                                            polícia federal                                        

","[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20847%20564'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20990%20557'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/55206864067-d9a52df3ca-o-990x557.jpg.webp', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20960%20540'%3E%3C/svg%3E"", 'https://cdn.bncamazonas.com.br/wp-content/uploads/2026/05/flavio-bolsonaro-agencia-senado-crop-20190518195156-960x540-1-1.webp']","['https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/flavio-bolsonaro-confessa-que-mentiu-sobre-visita-ao-dono-do-master/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/caso-master-pl-chama-flavio-bolsonaro-para-juntar-cacos/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/poder/audio-com-vorcaro-enfraquece-candidatura-de-flavio-bolsonaro/', 'https://bncamazonas.com.br/rapidinhas/pf-faz-operacao-policiais-do-am-sao-alvo/']",https://bncamazonas.com.br/municipios/pf-desarticula-organizacao-criminosa-de-trafico-de-drogas-e-lavagem-de-dinheiro/
