title,collected_date,published_date,tags,image_urls,urls,article_url
O que se sabe sobre operação da PF que investiga suspeita de tráfico de pessoas em um cruzeiro,2026-05-18 18:00:10,,,[],['https://www.cartacapital.com.br/tag/policia-federal/'],https://www.cartacapital.com.br/sociedade/o-que-se-sabe-sobre-operacao-da-pf-que-investiga-suspeita-de-trafico-de-pessoas-em-um-cruzeiro/
Meta é processada por ‘fechar os olhos’ para tráfico de pessoas no Facebook e Instagram,2026-05-18 18:00:12,,,[],"['https://www.cartacapital.com.br/tag/meta/', 'https://www.cartacapital.com.br/tag/facebook/', 'https://www.cartacapital.com.br/tag/instagram/', 'https://www.cartacapital.com.br/tag/mark-zuckerberg/']",https://www.cartacapital.com.br/tecnologia/meta-e-processada-por-fechar-os-olhos-para-trafico-de-pessoas-no-facebook-e-instagram/
Volkswagen é acusada de ‘escravidão’ e ‘tráfico de pessoas’ durante a ditadura no Brasil,2026-05-18 18:00:15,,,[],"['https://www.cartacapital.com.br/tag/volkswagen', 'https://www.cartacapital.com.br/tag/ditadura-militar', 'https://www.cartacapital.com.br/sociedade/volkswagen-reconhece-cumplicidade-com-repressao-durante-ditadura-no-brasil-e-fecha-acordo-com-mpf/']",https://www.cartacapital.com.br/sociedade/volkswagen-e-acusada-de-escravidao-e-trafico-de-pessoas-durante-a-ditadura-no-brasil/
MPT recebe mais de 6 mil denúncias de escravidão e tráfico de pessoas,2026-05-18 18:00:17,,,[],"['https://www.cartacapital.com.br/sociedade/familia-usou-pensao-de-mulher-escravizada-para-pagar-curso-de-medicina/', 'https://youtu.be/22Wnkd0dYuU', 'http://www.mpt.mp.br']",https://www.cartacapital.com.br/sociedade/mpt-recebe-mais-de-6-mil-denuncias-de-escravidao-e-trafico-de-pessoas/
Tráfico de pessoas dispara no Uruguai,2026-05-18 18:00:19,,,[],"['../../internacional/chile-condena-militares-por-morte-de-opositores-em-1973', '../../sociedade/venezuelanos-em-roraima-sao-vitimas-de-exploracao', '../../internacional/uruguai-oasis-de-tranquilidade-no-turbulento-cone-sul', '../../sociedade/o-combate-ao-abuso-e-a-exploracao-de-criancas-e-as-feridas-invisiveis', '../../internacional/nova-constituicao-cubana-elimina-termo-201ccomunismo201d', 'https://www.afp.com/pt']",https://www.cartacapital.com.br/mundo/correntes-invisiveis-o-trafico-de-pessoas-dispara-no-uruguai/
A invisível realidade do tráfico de pessoas,2026-05-18 18:00:22,,,[],[],https://www.cartacapital.com.br/sociedade/a-invisivel-realidade-do-trafico-de-pessoas/
Governo lança novo plano para combater o tráfico de pessoas,2026-05-18 18:00:23,,,[],[],https://www.cartacapital.com.br/sociedade/governo-lanca-novo-plano-para-combater-o-trafico-de-pessoas/
CPI do Tráfico de Pessoas convoca acusados de pertencer a quadrilha internacional,2026-05-18 18:00:25,,,[],[],https://www.cartacapital.com.br/sociedade/cpi-do-trafico-de-pessoas-convoca-acusados-de-pertencer-a-quadrilha-internacional/
CPI do Tráfico de Pessoas termina com proposta de punições mais rígidas,2026-05-18 18:00:26,,,[],['http://agenciabrasil.ebc.com.br/noticia/2012-12-19/cpi-do-trafico-de-pessoas-termina-com-proposta-de-punicoes-mais-rigidas'],https://www.cartacapital.com.br/politica/cpi-do-trafico-de-pessoas-termina-com-proposta-de-punicoes-mais-rigidas/
CPI do Tráfico de Pessoas termina com proposta de punições mais rígidas,2026-05-18 18:00:27,,,[],['http://agenciabrasil.ebc.com.br/noticia/2012-12-19/cpi-do-trafico-de-pessoas-termina-com-proposta-de-punicoes-mais-rigidas'],https://www.cartacapital.com.br/politica/cpi-do-trafico-de-pessoas-termina-com-proposta-de-punicoes-mais-rigidas/
Julgamento de Evo Morales por suposto tráfico de menor é suspenso na Bolívia,2026-05-18 18:00:30,,,[],"['https://www.cartacapital.com.br/tag/evo-morales/', 'https://www.cartacapital.com.br/tag/bolivia/', 'https://www.cartacapital.com.br/mundo/justica-da-bolivia-convoca-evo-morales-para-julgamento/']",https://www.cartacapital.com.br/mundo/julgamento-de-evo-morales-por-suposto-trafico-de-menor-e-suspenso-na-bolivia/
EUA diz ter matado 2 pessoas em ataque a supostas ‘narcolanchas’,2026-05-18 18:00:31,,,[],['https://www.cartacapital.com.br/justica/nao-existe-narcoterrorismo-no-brasil/'],https://www.cartacapital.com.br/mundo/eua-diz-ter-matado-2-pessoas-em-ataque-a-supostas-narcolanchas/
Novo ataque dos EUA contra suposta lancha do tráfico no Caribe deixa 3 mortos,2026-05-18 18:00:32,,,[],['https://www.cartacapital.com.br/mundo/na-onu-venezuela-pede-a-libertacao-de-maduro/'],https://www.cartacapital.com.br/mundo/novo-ataque-dos-eua-contra-suposta-lancha-do-trafico-no-caribe-deixa-3-mortos/
Novo ataque dos EUA contra suposta lancha do narcotráfico no Pacífico deixa 2 mortos,2026-05-18 18:00:33,,,[],"['https://www.cartacapital.com.br/mundo/piratas-do-caribe/', 'https://www.cartacapital.com.br/mundo/onu-denuncia-execucoes-extrajudiciais-nos-ataques-dos-eua-a-embarcacoes-no-caribe-e-pacifico/']",https://www.cartacapital.com.br/mundo/novo-ataque-dos-eua-contra-suposta-lancha-do-narcotrafico-no-pacifico-deixa-2-mortos/
PF faz operação para combater o tráfico de cocaína do PCC,2026-05-18 18:00:34,,,[],['https://www.cartacapital.com.br/sociedade/delegada-recem-empossada-e-presa-sob-suspeita-de-envolvimento-com-o-pcc/'],https://www.cartacapital.com.br/sociedade/pf-faz-operacao-para-combater-o-trafico-de-cocaina-do-pcc/
