0~1
https://www.correiobraziliense.com.br/mundo/2026/02/7355240-meus-filhos-foram-recrutados-para-um-esquema-de-trafico-humano-e-me-juntei-a-policia-para-tentar-encontra-los.html~'Meus filhos foram recrutados para um esquema de tráfico humano e me juntei à polícia para tentar encontrá-los'
https://www.correiobraziliense.com.br/mundo/2025/11/7302863-a-colombiana-que-sobreviveu-ao-trafico-de-pessoas-no-mexico-uma-amiga-me-enganou-e-me-levou-para-uma-rede-de-exploracao-sexual.html~A colombiana que sobreviveu ao tráfico de pessoas no México: 'Uma amiga me enganou e me levou para uma rede de exploração sexual'
https://www.correiobraziliense.com.br/mundo/2025/09/7244316-democratas-divulgam-suposta-carta-de-aniversario-de-trump-para-epstein.html~Democratas divulgam suposta carta de aniversário de Trump para Epstein
https://www.correiobraziliense.com.br/brasil/2025/08/7227154-hytalo-santos-relembre-as-polemicas-do-influenciador-preso.html~Hytalo Santos: Relembre as polêmicas do influenciador preso
https://www.correiobraziliense.com.br/brasil/2025/05/7157541-mpt-processa-byd-por-trabalho-escravo-em-obras-na-bahia.html~MPT processa BYD por trabalho escravo em obras na Bahia
https://www.correiobraziliense.com.br/mundo/2025/04/7124938-morre-virginia-giuffre-vitima-de-jeffrey-epstein-e-do-principe-andrew.html~Morre Virginia Giuffre, vítima de Jeffrey Epstein e do príncipe Andrew
https://www.correiobraziliense.com.br/brasil/2025/03/7096556-medica-que-sequestrou-bebe-em-hospital-de-uberlandia-e-libertada.html~Médica que sequestrou bebê em hospital de Uberlândia é libertada
https://www.correiobraziliense.com.br/brasil/2025/03/7092566-ministerio-da-justica-lanca-guias-para-reforcar-combate-ao-trafico-de-pessoas.html~Ministério da Justiça lança guias para reforçar combate ao tráfico de pessoas
https://www.correiobraziliense.com.br/opiniao/2025/03/7084885-trafico-de-pessoas-a-escravidao-moderna-que-persiste.html~Tráfico de pessoas: a escravidão moderna que persiste 
https://www.correiobraziliense.com.br/mundo/2025/02/7061930-cassinos-arranha-ceus-e-fraude-bbc-visita-a-bizarra-cidade-construida-com-golpes.html~Cassinos, arranha-céus e fraude: BBC visita a bizarra cidade construída com golpes
https://www.correiobraziliense.com.br/opiniao/2025/01/7045260-a-realidade-da-escravidao-no-brasil.html~A realidade da escravidão no Brasil
https://www.correiobraziliense.com.br/mundo/2025/01/7037660-juiz-boliviano-ordena-prisao-de-evo-morales-por-suposto-trafico-de-menor.html~Juiz boliviano ordena prisão de Evo Morales por suposto tráfico de menor
https://www.correiobraziliense.com.br/mundo/2024/12/7018338-as-160-criancas-resgatadas-da-seita-judaica-lev-tahor-acusada-de-trafico-de-pessoas-e-abuso-sexual-na-guatemala.html~As 160 crianças resgatadas da seita judaica Lev Tahor, acusada de tráfico de pessoas e abuso sexual na Guatemala
https://www.correiobraziliense.com.br/politica/2024/12/7005528-cooptados-para-trabalho-cinco-brasileiros-sao-presos-na-nigeria.html~Cooptados para trabalho, cinco brasileiros são presos na Nigéria
https://www.correiobraziliense.com.br/mundo/2024/10/6970358-a-prisao-de-ex-ceo-de-grife-da-moda-por-acusacoes-de-trafico-e-abuso-sexual-reveladas-pela-bbc.html~A prisão de ex-CEO de grife da moda por acusações de tráfico e abuso sexual reveladas pela BBC
https://www.correiobraziliense.com.br/brasil/2024/08/6925628-governo-anuncia-que-vai-restringir-a-entrada-de-pessoas-sem-visto.html~Governo anuncia que vai restringir a entrada de pessoas sem visto
https://www.youtube.com/watch?v=jMB4ldtEk3Y~Sequestradora faz enxoval e anuncia gravidez antes de agir
https://www.correiobraziliense.com.br/brasil/2024/07/6909314-whatsapp-e-outros-apps-sao-usados-por-traficantes-de-pessoas-no-brasil.html~Whatsapp e outros apps são usados por traficantes de pessoas no Brasil
https://www.correiobraziliense.com.br/brasil/2024/07/6899897-a-influencer-brasileira-condenada-por-trafico-de-pessoas.html~A influencer brasileira condenada por tráfico de pessoas
https://www.correiobraziliense.com.br/mundo/2024/06/6880546-como-familia-mais-rica-do-reino-unido-foi-parar-no-banco-dos-reus-por-trafico-de-pessoas.html~Como família mais rica do Reino Unido foi parar no banco dos réus por tráfico de pessoas
https://www.correiobraziliense.com.br/brasil/2023/12/6665148-trafico-de-pessoas-livro-mostra-como-crime-vitima-mulheres-e-criancas.html~Tráfico de pessoas: livro mostra como crime vitima mulheres e crianças
https://www.correiobraziliense.com.br/mundo/2023/09/5122890-cuba-detecta-recrutamento-ilegal-de-cidadaos-para-guerra-na-ucrania.html~Cuba detecta recrutamento ilegal de cidadãos para guerra na Ucrânia
https://blogs.correiobraziliense.com.br/denise/maranhense-recebe-premio-nos-eua-por-luta-contra-o-trabalho-escravo/~Maranhense recebe prêmio nos EUA por luta contra o trabalho escravo - Blog da Denise
https://www.correiobraziliense.com.br/brasil/2023/05/5093719-tj-decreta-prisao-preventiva-de-casal-que-estava-com-com-bebe-desaparecido.html~TJ decreta prisão preventiva de casal que estava com bebê desaparecido
https://www.correiobraziliense.com.br/brasil/2023/05/5093171-dupla-e-presa-por-trafico-de-pessoas-ao-ser-flagrada-com-bebe-desaparecido-de-sc.html~Dupla é presa por tráfico de pessoas ao ser flagrada com bebê desaparecido de SC
https://www.correiobraziliense.com.br/mundo/2023/04/5086227-a-condenacao-de-6-pessoas-em-caso-de-mulher-acorrentada-que-chocou-a-china.html~A condenação de 6 pessoas em caso de mulher acorrentada que chocou a China
https://www.correiobraziliense.com.br/cidades-df/2023/04/5084969-trabalhadores-vitimas-de-trafico-de-pessoas-sao-resgatados-no-entorno-do-df.html~Trabalhadores vítimas de tráfico de pessoas são resgatados no Entorno do DF
https://www.correiobraziliense.com.br/mundo/2022/12/5062574-influencer-que-provocou-greta-thunberg-com-carros-poluidores-e-preso-acusado-de-estupro-e-trafico-de-pessoas.html~Influencer que provocou Greta Thunberg com carros poluidores é preso acusado de estupro e tráfico de pessoas
https://www.correiobraziliense.com.br/cidades-df/2022/12/5056297-garotas-de-programa-vitimas-de-trafico-de-pessoas-sao-resgatadas-no-df.html~Garotas de programa vítimas de tráfico de pessoas são resgatadas no DF
https://www.correiobraziliense.com.br/politica/2022/10/5044198-ministerio-da-justica-investiga-trafico-de-pessoas-no-camboja-na-asia.html~Ministério da Justiça investiga tráfico de pessoas no Camboja, na Ásia
https://www.correiobraziliense.com.br/mundo/2022/09/5040370-a-seita-judaica-ultraortodoxa-acusada-de-trafico-de-pessoas-e-abuso-sexual-no-mexico.html~A seita judaica ultraortodoxa acusada de tráfico de pessoas e abuso sexual no México
https://www.correiobraziliense.com.br/cidades-df/2022/07/5025616-tjdft-ilumina-fachada-de-azul-em-combate-ao-trafico-de-pessoas.html~TJDFT ilumina fachada de azul em campanha de combate ao tráfico de pessoas
https://www.correiobraziliense.com.br/mundo/2022/03/4996648-como-o-trafico-de-pessoas-se-aproveita-de-refugiadas-ucranianas.html~Como o tráfico de pessoas se aproveita de refugiadas ucranianas
https://www.correiobraziliense.com.br/esportes/2022/03/4990152-denuncia-de-ex-namorada-de-maradona-por-suposto-trafico-de-pessoas-e-arquivada.html~Denúncia de ex-namorada de Maradona, por suposto tráfico de pessoas, é arquivada 
