title,collected_date,published_date,tags,image_urls,urls,article_url
Segup apreende drogas escondidas em embarcação no rio Amazonas,2026-05-18 16:35:57,"domingo, 17/05/2026, 08:39-  Autor: Lana Oliveira - Fonte: Agência Pará",tagsAMAZÔNIA base fluvial candiru Segurança Pública TRÁfico de drogas,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/90009419060-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2F90009419060.jpg%3Fxid%3D3243731&xid=3243731', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/noticias/para/941791/para-mobiliza-1800-policiais-em-megaoperacao-contra-criminalidade?d=1', 'https://dol.com.br/noticias/para/941800/arraias-transportadas-em-sacos-plasticos-sao-resgatadas-em-castanhal-no-para?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/amazonia', '/tags/base-fluvial-candiru', '/tags/seguranca-publica', '/tags/trafico-de-drogas', '#modal_5', '#', '#', '/noticias/para/941906/segup-apreende-drogas-escondidas-em-embarcacao-no-rio-amazonas', '/noticias/para/941905/operacao-desativa-sete-areas-de-garimpo-ilegal-na-divisa-do-para', '/noticias/para/941904/mangal-das-garcas-promove-oficina-para-criancas-neste-domingo-17', '/concursos/municipais/941903/pss-hemopa-penultimo-dia-para-se-inscrever-com-salarios-de-r-44-mil', '/esporte/mundo/941902/ufc-confirma-retorno-de-conor-mcgregor-com-luta-marcada-contra-ex-rival']",https://dol.com.br/noticias/para/941906/segup-apreende-drogas-escondidas-em-embarcacao-no-rio-amazonas
"UFPA publica edital com mais de 1,7 mil vagas em processos seletivos",2026-05-18 16:35:58,"sábado, 16/05/2026, 20:46-  Autor: Alexandre Nascimento - Fonte: Ascom UFPA",tagsacesso à educação superior CURSOS GRATUITOS INCLUSÃO SOCIAL licenciaturas e formação docente mobilidade acadêmica Políticas Afirmativas,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop251778974921009418850-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop251778974921009418850.jpg%3Fxid%3D3243623&xid=3243623', '/themes/DOL/assets/img/camera-solid.svg', 'https://cdn.dol.com.br/img/inline/940000/767x0/crop331778973009009418850.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2Finline%2F940000%2Fcrop331778973009009418850.jpg%3Fxid%3D3243625%26resize%3D380%252C200%26t%3D1778975235&xid=3243625', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/tags/universidade-federal-do-para', 'https://dol.com.br/tags/indigenas', 'https://dol.com.br/noticias/cursos--empregos/941822/fundacao-oferece-88-cursos-gratuitos-online-e-com-certificado?d=1', 'https://dol.com.br/noticias/cursos--empregos/941714/sest-senat-abre-vagas-na-saude-e-administracao-no-para?d=1', 'https://www.whatsapp.com/channel/0029Va9F8PnATRSuM3q3Py31', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/acesso-a-educacao-superior', '/tags/cursos-gratuitos', '/tags/inclusao-social', '/tags/licenciaturas-e-formacao-docente', '/tags/mobilidade-academica', '/tags/politicas-afirmativas', '#modal_5', '#', '#', '/noticias/cursos--empregos/941885/ufpa-publica-edital-com-mais-de-17-mil-vagas-em-processos-seletivos', '/noticias/para/941884/piloto-de-aeronave-que-caiu-em-benevides-e-encontrado-vivo', '/esporte/remo/941883/remo-supera-gigantes-da-serie-a-entre-as-maiores-rendas-do-brasil', '/esporte/esporte-brasil/941882/convocacao-de-ancelotti-pela-selecao-tera-700-jornalistas-credenciados', '/esporte/esporte-brasil/941881/cbf-adia-uso-do-var-semiautomatico-na-serie-a-apos-impasse-entre-clubes']",https://dol.com.br/noticias/cursos--empregos/941885/ufpa-publica-edital-com-mais-de-17-mil-vagas-em-processos-seletivos
"Brandon Clarke, pivô do Memphis Grizzlies, morre aos 29 anos",2026-05-18 16:35:59,"terça-feira, 12/05/2026, 22:34- Atualizado 12/05/2026, 23:21-  Autor: Tarik Duarte - Fonte: Itatiaia",tagsBASQUETE Brandon Clarke ESPORTE Legado Memphis Grizzlies NBA,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop261778634400-1200x628-grayscale-2026-05-12-220009415040-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop261778634400-1200x628-grayscale-2026-05-12-220009415040.jpg%3Fxid%3D3241396&xid=3241396', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/esporte/mundo/941489/ex-paysandu-bergson-marca-seis-gols-em-goleada-historica?d=1', 'https://dol.com.br/esporte/mundo/941480/falha-de-bento-nos-acrescimos-adia-titulo-do-al-nassr-e-revolta-cr7?d=1', 'https://whatsapp.com/channel/0029Va9HEvbKGGGKe8qNfd3d', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/basquete', '/tags/brandon-clarke', '/tags/esporte', '/tags/legado', '/tags/memphis-grizzlies', '/tags/nba', '#modal_5', '#', '#', '/entretenimento/fama/941768/post-de-ze-felipe-causa-burburinho-na-web-apos-termino-de-virginia-e-vini-jr', '/noticias/para/941767/moradores-de-ananindeua-denunciam-aumento-abusivo-do-iptu', '/noticias/para/941766/homens-invadem-propriedade-no-moju-para-executar-funcionario', '/esporte/mundo/941765/paraenses-melquizael-e-polyana-lideram-brasil-no-ufc-vegas-117', '/noticias/para/941764/supermercado-lider-registra-carne-moida-de-r-4-mil-e-causa-indignacao-em-belem']",https://dol.com.br/esporte/mundo/941504/brandon-clarke-jogador-do-memphis-grizzlies-morre-aos-29-anos
Justiça do Rio de Janeiro inicia julgamento do rapper Oruam nesta segunda (11),2026-05-18 16:36:00,"segunda-feira, 11/05/2026, 17:38-  Autor: Laura Vasconcelos - Fonte: Carta Capital",tagsENTRETENIMENTO JUSTIÇA Oruam Polícia RIO DE JANEIRO tentativa de homicídio,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop341778528339009413750-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop341778528339009413750.jpg%3Fxid%3D3240688&xid=3240688', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/entretenimento/fama/933899/oruam-vai-preso-novamente-por-descumprir-de-medidas-cautelares?d=1', 'https://dol.com.br/entretenimento/fama/933876/oruam-e-considerado-foragido-apos-66-violacoes-a-tornozeleira?d=1', 'https://www.whatsapp.com/channel/0029Va4xYGk1dAw9LjYD7B2k', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/entretenimento', '/tags/justica', '/tags/oruam', '/tags/policia', '/tags/rio-de-janeiro', '/tags/tentativa-de-homicidio', '#modal_5', '#', '#', '/esporte/paysandu/941802/paysandu-x-nacional-horario-alterado-e-lote-inicial-de-ingressos-esgotado', '/noticias/para/941801/prefeitura-prorroga-inscricao-para-editais-da-lei-aldir-blanc', '/noticias/para/941800/arraias-transportadas-em-sacos-plasticos-sao-resgatadas-em-castanhal-no-para', '/esporte/remo/941799/victor-bueno-projeta-evolucao-e-ve-remo-mais-cascudo-na-temporada', '/entretenimento/941798/modelo-revela-conversa-antes-do-termino-de-virginia-e-vini-jr']",https://dol.com.br/entretenimento/fama/941375/justica-do-rio-de-janeiro-inicia-julgamento-do-rapper-oruam-nesta-segunda-11
PF deflagra operação para investigar esquema de imigração ilegal para os EUA,2026-05-18 16:36:01,"sábado, 09/05/2026, 18:24-  Autor: Laura Vasconcelos - Fonte: Metrópoles",tagsDIREITOS HUMANOS IMIGRAÇÃO JUSTIÇA migrantes POLÍCIA FEDERAL,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop341778361586009412430-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop341778361586009412430.jpg%3Fxid%3D3239892&xid=3239892', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/noticias/para/928952/pf-deflagra-operacao-de-combate-ao-abuso-sexual-infantojuvenil-em-belem?d=1', 'https://dol.com.br/noticias/policia/940736/para-pf-prende-condenado-por-trafico-de-drogas-e-apreende-ouro?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/direitos-humanos', '/tags/imigracao', '/tags/justica', '/tags/migrantes', '/tags/policia-federal', '#modal_5', '#', '#', '/entretenimento/941778/leo-dias-expoe-suposta-traicao-de-vini-jr-e-revela-conversa-com-virginia', '/esporte/esporte-brasil/941777/dorival-junior-retorna-ao-sao-paulo-apos-saida-do-corinthians', '/tuedoide/curiosidades/941776/saiba-como-lavar-cortina-na-maquina-de-lavar-sem-causar-danos', '/noticias/brasil/941775/burger-king-deixa-pepsi-e-fecha-parceria-com-coca-cola', '/entretenimento/fama/941774/leo-dias-mostra-mulheres-que-vini-jr-teria-escondido-de-virginia']",https://dol.com.br/noticias/brasil/941243/pf-deflagra-operacao-para-investigar-esquema-de-imigracao-ilegal-para-os-eua
Quadrilha é presa ao tentar roubar avião em Itaituba,2026-05-18 16:36:02,"sexta-feira, 08/05/2026, 23:06-  Autor: Alexandre Nascimento - Fonte: André Farias/RBATV Itaituba",tagsação preventiva Crime em Itaituba POLICIA MILITAR PARÁ Quadrilha criminosa Roubo de avião TRÁfico de drogas,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop331778292210009411950-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop331778292210009411950.jpg%3Fxid%3D3239581&xid=3239581', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/tags/itaituba', 'https://dol.com.br/noticias/policia/941137/trio-e-preso-suspeito-de-estupro-coletivo-contra-adolescente-em-outeiro?d=1', 'https://dol.com.br/noticias/policia/941133/suspeito-de-crimes-morre-em-intervencao-policial-em-belem?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/acao-preventiva', '/tags/crime-em-itaituba', '/tags/policia-militar-para', '/tags/quadrilha-criminosa', '/tags/roubo-de-aviao', '/tags/trafico-de-drogas', '#modal_5', '#', '#', '/entretenimento/fama/941774/leo-dias-mostra-mulheres-que-vini-jr-teria-escondido-de-virginia', '/esporte/941773/ronda-rousey-x-gina-carano-luta-historica-de-mma-neste-sabado-16', '/noticias/mundo-noticias/941772/pescador-e-mordido-ao-tentar-retirar-anzol-preso-em-tubarao', '/noticias/para/941771/prefeitura-de-belem-assina-servicos-para-pavimento-e-agua-em-cotijuba', '/entretenimento/fama/941770/termino-de-virginia-e-vini-jr-suposta-pivo-da-separacao-posta-meu-dia-comecou']",https://dol.com.br/noticias/policia/941195/quadrilha-e-presa-ao-tentar-roubar-aviao-em-itaituba
Suspeito troca tiros com a polícia durante operação no Pará,2026-05-18 16:36:03,"quinta-feira, 07/05/2026, 21:53- Atualizado 07/05/2026, 22:06-  Autor: Alexandre Nascimento",tagsCRIME ORGANIZADO Facções Criminosas Operação Hemostasia polícia civil Segurança Pública TRÁfico de drogas,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop251778201441009410840-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop251778201441009410840.jpg%3Fxid%3D3238858&xid=3238858', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/tags/crime-organizado?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/crime-organizado', '/tags/faccoes-criminosas', '/tags/operacao-hemostasia', '/tags/policia-civil', '/tags/seguranca-publica', '/tags/trafico-de-drogas', '#modal_5', '#', '#', '/noticias/policia/941810/video-homem-e-morto-apos-tentativa-de-latrocinio-no-para', '/noticias/servico/941809/veja-como-ter-direito-a-50-de-desconto-na-conta-de-agua', '/noticias/para/941808/semana-s-inicia-em-belem-com-qualificacao-profissional-e-inovacao', '/noticias/para/941807/tradicional-sorvete-de-acai-do-para-esta-entre-os-100-melhores-do-mundo', '/noticias/para/941806/governadora-hana-se-pronuncia-sobre-disputa-territorial-com-o-mt-o-para-nao-se-divide']",https://dol.com.br/noticias/policia/941084/suspeito-troca-tiros-com-a-policia-durante-operacao-no-para
Homem é executado no meio da rua no interior do Pará,2026-05-18 16:36:04,"terça-feira, 05/05/2026, 21:24-  Autor: Alexandre Nascimento - Fonte: Nilvan Ferreira/RBATV Parauapebas",tagsCanaã dos Carajás criminalidade Homicídio investigação policial Segurança Pública violência urbana,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/crop331778022030009408820-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2Fcrop331778022030009408820.jpg%3Fxid%3D3237644&xid=3237644', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/tags/canaa-dos-carajas?d=1', 'https://dol.com.br/noticias/policia/940797/jovem-desapareceu-ha-7-dias-em-marituba-apos-sair-em-carro-de-aplicativo?d=1', 'https://dol.com.br/noticias/policia/940792/policial-e-preso-apos-matar-homem-a-tiros-em-bar-no-para?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/canaa-dos-carajas', '/tags/criminalidade', '/tags/homicidio', '/tags/investigacao-policial', '/tags/seguranca-publica', '/tags/violencia-urbana', '#modal_5', '#', '#', '/esporte/paysandu/941829/sem-caio-mello-confira-os-relacionados-do-paysandu-contra-o-caxias', '/noticias/tecnologia/941828/whatsapp-aprimora-recurso-de-mensagens-temporarias', '/noticias/brasil/941827/governo-libera-saque-do-fgts-para-10-milhoes-veja-quem-recebe', '/entretenimento/cinema/941826/professor-volta-em-novo-teaser-da-continuacao-de-la-casa-de-papel', '/noticias/brasil/941825/samsung-busca-projetos-criativos-de-estudantes-da-rede-publica']",https://dol.com.br/noticias/policia/940882/homem-e-executado-no-meio-da-rua-no-interior-do-para
Professora de Marabá começa a cumprir 14 anos de prisão por atos golpistas,2026-05-18 16:36:06,"segunda-feira, 04/05/2026, 17:23- Atualizado 04/05/2026, 18:04-  Autor: Lana Oliveira",tagsatos golpistas condenação JUSTIÇA MARABÁ política brasileira,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/27009407810-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2F27009407810.jpg%3Fxid%3D3237018&xid=3237018', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/noticias/policia/940736/para-pf-prende-condenado-por-trafico-de-drogas-e-apreende-ouro?d=1', 'https://dol.com.br/noticias/brasil/940774/relator-quer-votar-fim-da-escala-6x1-ainda-em-maio-na-camara?d=1', 'https://www.whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/atos-golpistas', '/tags/condenacao', '/tags/justica', '/tags/maraba', '/tags/politica-brasileira', '#modal_5', '#', '#', '/noticias/brasil/941804/jose-dirceu-e-diagnosticado-com-linfoma-e-inicia-tratamento-em-sp', '/carajas/cidades/maraba/941803/23-brigada-de-infantaria-de-selva-comanda-operacao-no-para', '/esporte/paysandu/941802/paysandu-x-nacional-horario-alterado-e-lote-inicial-de-ingressos-esgotado', '/noticias/para/941801/prefeitura-prorroga-inscricao-para-editais-da-lei-aldir-blanc', '/noticias/para/941800/arraias-transportadas-em-sacos-plasticos-sao-resgatadas-em-castanhal-no-para']",https://dol.com.br/noticias/para/940781/professora-de-maraba-comeca-a-cumprir-14-anos-de-prisao-por-atos-golpistas
"Ministério Público denuncia Marcinho VP, a esposa e o filho Oruam",2026-05-18 16:36:07,"sábado, 02/05/2026, 12:40-  Autor: Brenda Hayashi - Fonte: Douglas Corrêa / Agência Brasil",tagsCRIME ORGANIZADO marcinho vp notícias do Rio Segurança Pública tráfico,"['https://cdn.dol.com.br/img/Artigo-Destaque/940000/640x335/---2026-05-02t121401358009406080-3.webp?fallback=https%3A%2F%2Fcdn.dol.com.br%2Fimg%2FArtigo-Destaque%2F940000%2F---2026-05-02t121401358009406080.png%3Fxid%3D3235845&xid=3235845', '/themes/DOL/assets/img/camera-solid.svg', '/themes/DOL/assets/img/envelope.svg', '/themes/DOL/assets/img/plus.svg']","['https://dol.com.br/entretenimento/fama/933876/oruam-e-considerado-foragido-apos-66-violacoes-a-tornozeleira?d=1', 'https://dol.com.br/colunistas/leandro-mazzini/927213/oruam-filho-de-marcinho-vp-planeja-candidatura-em-2026?d=1', 'https://www.whatsapp.com/channel/0029Va4xYGk1dAw9LjYD7B2k', 'https://whatsapp.com/channel/0029Va9IlAw2v1J02cbfQ31H', 'https://t.me/dolnoticias', '/n/828815', '/tags/crime-organizado', '/tags/marcinho-vp', '/tags/noticias-do-rio', '/tags/seguranca-publica', '/tags/trafico', '#modal_5', '#', '#', '/noticias/para/942008/oleos-da-amazonia-despontam-como-alternativa-no-combate-ao-cancer', '/entretenimento/fama/942007/video-chay-suede-ameaca-deixar-palco-apos-huck-relembrar-inicio-na-record', '/entretenimento/games/942006/novo-007-desafia-formulas-e-promete-mudar-o-stealth-nos-games', '/entretenimento/games/942005/varejistas-inflam-rumores-da-pre-venda-e-hype-de-gta-6-dispara', '/esporte/esporte-brasil/942004/como-neymar-se-tornou-alvo-de-lobby-inedito-na-historia-da-selecao']",https://dol.com.br/entretenimento/fama/940608/ministerio-publico-denuncia-marcinho-vp-a-esposa-e-o-filho-oruam
